,Colorectal male,,,Colorectal female,,,Lung male,,,Lung female,,,Breast cancer female,,,Prostate male,
grid,Expected LE(years),LLE(years),,Expected LE (years),LLE (years),,Expected LE (years),LLE (years),,Expected LE (years),LLE (years),,Expected LE (years),LLE (years),,Expected LE (years),LLE (years)
106,19.50404092,3.886589834,,23.72829116,3.642252241,,19.77537147,10.51659774,,23.46217008,8.928924389,,23.64168642,2.557285717,,20.05950909,1.22406892
107,22.40233419,4.942742728,,25.37824133,4.217668964,,22.46983615,12.22145421,,25.35440706,12.74029951,,25.57628716,3.222052271,,22.97503309,2.413890397
108,21.14619061,4.530650734,,23.34979458,3.727392041,,21.15976928,10.86954709,,23.10119285,10.30178508,,23.40070508,2.583335906,,21.90971013,2.201217363
109,19.54971241,4.163442557,,23.63428161,3.655537705,,19.60690147,11.13622001,,23.96046113,11.3391639,,24.00063393,2.647409258,,19.80353959,1.416797399
110,21.32148678,4.555719433,,22.8530575,3.534193551,,21.27104212,10.8526902,,22.86411634,9.958713119,,23.14344784,2.530715513,,21.68622129,1.946907111
111,20.99370237,4.395090657,,24.01212688,3.80877494,,20.72117041,10.62733575,,23.71058787,8.88689931,,24.23962881,2.617894266,,21.59280471,1.839326376
112,22.75916148,5.136369127,,25.72131017,4.332705171,,22.67203087,13.95938583,,25.8925734,14.16126164,,26.00969853,3.165714589,,23.0512165,2.585063895
113,20.33423367,4.192574671,,24.70285525,3.775371198,,20.27525724,9.496369775,,24.7217385,10.83289887,,25.03740371,3.018195347,,20.72898776,1.655989322
114,20.31923526,4.212087117,,24.68779756,3.718839242,,20.28061932,9.91695234,,24.75911925,11.49552107,,25.12876123,3.063774836,,21.00441358,1.874232048
115,20.78596325,4.358388671,,23.28323275,3.537760883,,20.97191202,10.44315919,,23.3209141,10.39208283,,23.52266263,2.628258339,,21.37964626,1.980335061
116,20.71535774,4.298295204,,24.96809068,3.775190841,,20.47267971,9.113141153,,24.97671413,10.82169675,,25.18291601,3.019540202,,21.07246503,1.69846673
117,20.37733326,4.329464522,,23.76662878,3.676666776,,20.53906138,10.96772578,,23.79069475,11.5114075,,23.74866548,2.795050894,,20.71859697,1.77575162
118,21.82865427,4.712014575,,26.09519742,4.107465142,,21.7792956,10.84990168,,26.17023648,12.60242933,,26.26965892,3.336511947,,22.34126225,2.27052444
119,21.31302894,4.413033974,,24.69350223,3.93489234,,21.18095541,9.598048378,,24.65015859,10.10322742,,24.62297427,2.736838302,,21.5288362,1.743464558
120,22.96892555,5.042024953,,29.27309531,5.051917,,22.64827255,11.26828812,,29.27871062,13.2598349,,29.567996,4.096715951,,23.71211826,2.992213154
121,23.59302339,5.26844081,,26.77427351,4.439867551,,23.58425633,12.3318303,,26.89624005,12.27153735,,26.89958053,3.236777966,,24.04311807,2.749000852
122,21.78737762,4.776420949,,24.62092964,4.15095539,,21.65753195,11.92200983,,24.58811393,11.3571573,,24.79717752,2.789641435,,21.91441136,2.201345175
123,20.56821036,4.183021536,,25.0014384,3.974589173,,20.46882143,9.359598498,,25.13940714,11.11048829,,25.1662495,2.935363639,,20.88519811,1.757442821
124,22.44315836,4.751695496,,25.71995519,4.198604377,,22.81445321,12.06187877,,25.75511381,11.88525259,,25.73955772,3.125609336,,23.28347508,2.340726047
125,22.71238961,4.920122771,,25.54598307,4.24823043,,22.66429222,11.20637215,,25.5260357,11.09001393,,25.7789885,3.001843567,,23.17234533,2.690651956
126,20.37543069,4.217256515,,25.21491584,4.007927126,,20.49032745,10.19654445,,25.30765578,10.759698,,25.61536786,2.978606487,,21.05033528,1.687854237
127,21.70238552,4.652741649,,26.98682558,4.394416105,,21.43754477,10.25189551,,26.86717497,11.33145941,,27.67172747,3.479438823,,22.34975932,2.151311793
128,19.22805262,3.880072804,,23.94809959,3.814491407,,19.04860776,9.499832713,,23.17340284,9.139340074,,23.73805999,2.556264091,,19.94970576,1.483493982
129,19.28373345,3.816336935,,23.73008334,3.639130956,,19.06402923,8.471225028,,23.87232138,9.680205344,,24.28101882,2.755519991,,19.75548152,1.37335746
130,19.97806748,4.10433468,,23.90127575,3.745389819,,20.11403052,10.45793368,,23.71224477,9.991540638,,24.17840469,2.734267191,,20.39145797,1.500743555
131,21.34142636,4.539038907,,24.79576935,4.237456498,,21.42936922,11.68774071,,24.58920989,10.78289526,,24.87651086,2.819767335,,21.79854789,2.177686639
132,22.43955304,4.990712466,,26.10663546,4.290754147,,22.15699048,11.6235526,,26.18679521,12.03261188,,26.451502,3.055829746,,22.58559179,2.329838986
133,21.20345666,4.364812774,,24.36583655,3.741938598,,21.26590147,9.957574912,,24.34749585,10.40828688,,24.36861463,2.45312517,,21.62209601,1.629396241
134,22.43866529,4.896827196,,25.89080433,4.146916981,,22.2368688,10.5920394,,25.78733507,11.31382541,,26.24373144,2.966006987,,22.70109289,2.292448159
135,22.64235352,5.008841078,,24.68798522,3.785079957,,22.41020751,10.84477829,,24.80604082,11.17921183,,25.12356873,2.820357955,,23.02040591,2.160032464
136,21.7546522,4.628589884,,24.83181302,3.871068111,,21.56299723,10.19528839,,24.95268547,11.3034479,,24.98650799,2.74881998,,22.07475801,1.813593351
137,21.85001401,4.731182683,,27.09235619,4.460711638,,21.80181174,11.14362352,,26.93008838,11.34731348,,27.22582676,3.193573404,,22.2202829,1.95445262
138,19.31399672,4.237192731,,21.03876987,4.014754324,,19.2678668,11.37588809,,21.00304614,11.09998165,,20.99935642,2.930059746,,19.63051435,1.828886086
139,20.02287362,4.565465335,,22.2953506,4.402048644,,20.07852623,13.03418479,,22.24336455,11.87863379,,22.63891289,3.249746939,,20.28775426,2.157543182
140,19.88733143,4.428191133,,21.6565124,4.104915205,,19.83955184,11.59825068,,21.619577,10.31918801,,21.7702132,3.033428972,,20.41106091,1.931435828
141,19.90693164,4.517324293,,22.47904952,4.490575672,,20.00423481,12.3025888,,22.30359881,11.55820986,,22.76044576,3.306425858,,20.4092972,2.33965722
142,20.27313408,4.740963384,,22.49438482,4.414265498,,20.32088103,12.95186654,,22.55516075,12.28107822,,22.67102434,3.196549414,,20.41249027,2.335548087
143,19.95066593,4.586776885,,22.1458923,4.278325872,,20.02749523,13.70380008,,22.18850651,12.06178583,,22.25665317,3.283454386,,20.15655483,1.967228129
144,20.13548375,4.539506621,,22.22639927,4.288957703,,19.98872402,11.40270607,,22.27531686,11.82058692,,22.56419735,3.305953489,,20.27431718,2.336645378
